0;Afghanistan 
4;Andorra 
9;Armenia 
12;Austria 
13;Azerbaijan 
18;Belarus 
23;Bhutan 
24;Bolivia 
26;Botswana 
31;Burkina Faso 
33;Burundi 
39;Central African Rep. 
40;Chad 
45;Congo, Dem. Rep. 
53;Czech Republic 
65;Ethiopia 
92;Hungary 
106;Kazakhstan 
112;Kyrgyzstan 
113;Laos 
116;Lesotho 
119;Liechtenstein 
121;Luxembourg 
123;Macedonia 
125;Malawi 
128;Mali 
137;Moldova 
139;Mongolia 
145;Nepal 
151;Niger 
160;Paraguay 
170;Rwanda 
177;San Marino 
181;Serbia 
185;Slovakia 
194;Swaziland 
196;Switzerland 
199;Tajikistan 
207;Turkmenistan 
210;Uganda 
216;Uzbekistan 
222;West Bank 
225;Zambia 
226;Zimbabwe 
